,director_name,actor_1,actor_2,actor_3,genres,gross
70,16,15,18,18,Fantasy,262030663.0
71,17,16,19,19,Action,105219735.0
72,17,16,19,19,Adventure,105219735.0
73,17,16,19,19,Drama,105219735.0
74,17,16,19,19,History,105219735.0
75,15,14,17,17,Adventure,258355354.0
76,15,14,17,17,Fantasy,258355354.0
77,18,17,20,20,Adventure,70083519.0
78,18,17,20,20,Family,70083519.0
79,18,17,20,20,Fantasy,70083519.0
80,15,18,21,21,Action,218051260.0
81,15,18,21,21,Adventure,218051260.0
82,15,18,21,21,Drama,218051260.0
83,15,18,21,21,Romance,218051260.0
84,0,19,22,22,Drama,658672302.0
85,0,19,22,22,Romance,658672302.0
86,19,20,23,23,Action,407197282.0
87,19,20,23,23,Adventure,407197282.0
88,19,20,23,23,Sci-Fi,407197282.0
89,20,21,24,24,Action,65173160.0
90,20,21,24,24,Adventure,65173160.0
91,20,21,24,24,Sci-Fi,65173160.0
92,20,21,24,24,Thriller,65173160.0
93,21,22,25,25,Action,652177271.0
94,21,22,25,25,Adventure,652177271.0
95,21,22,25,25,Sci-Fi,652177271.0
96,21,22,25,25,Thriller,652177271.0
97,2,23,26,11,Action,304360277.0
98,2,23,26,11,Adventure,304360277.0
99,2,23,26,11,Thriller,304360277.0
100,5,5,5,5,Action,373377893.0
101,5,5,5,5,Adventure,373377893.0
102,5,5,5,5,Fantasy,373377893.0
103,5,5,5,5,Romance,373377893.0
104,22,20,27,26,Action,408992272.0
105,22,20,27,26,Adventure,408992272.0
106,22,20,27,26,Sci-Fi,408992272.0
107,23,1,28,27,Adventure,334185206.0
108,23,1,28,27,Family,334185206.0
109,23,1,28,27,Fantasy,334185206.0
110,24,24,29,28,Action,234360014.0
111,24,24,29,28,Adventure,234360014.0
112,24,24,29,28,Fantasy,234360014.0
113,24,24,29,28,Sci-Fi,234360014.0
114,24,24,29,28,Thriller,234360014.0
115,25,25,30,29,Adventure,268488329.0
116,25,25,30,29,Animation,268488329.0
117,25,25,30,29,Comedy,268488329.0
118,25,25,30,29,Family,268488329.0
119,25,25,30,29,Fantasy,268488329.0
120,26,26,31,30,Action,402076689.0
121,26,26,31,30,Adventure,402076689.0
122,26,26,31,30,Sci-Fi,402076689.0
123,26,27,32,31,Action,245428137.0
124,26,27,32,31,Adventure,245428137.0
125,26,27,32,31,Sci-Fi,245428137.0
126,5,28,33,32,Adventure,234903076.0
127,5,28,33,32,Family,234903076.0
128,5,28,33,32,Fantasy,234903076.0
129,16,15,18,33,Action,202853933.0
130,16,15,18,33,Adventure,202853933.0
131,16,15,18,33,Fantasy,202853933.0
132,16,15,18,33,Sci-Fi,202853933.0
133,27,29,34,34,Action,172051787.0
134,27,29,34,34,Adventure,172051787.0
135,27,29,34,34,Sci-Fi,172051787.0
136,28,30,21,35,Adventure,191450875.0
137,28,30,21,35,Animation,191450875.0
138,28,30,21,35,Comedy,191450875.0
139,28,30,21,35,Family,191450875.0
140,28,30,21,35,Sport,191450875.0
141,29,31,35,36,Action,116593191.0
142,29,31,35,36,Adventure,116593191.0
143,29,31,35,36,Sci-Fi,116593191.0
144,30,32,36,37,Adventure,414984497.0
145,30,32,36,37,Animation,414984497.0
146,30,32,36,37,Comedy,414984497.0
147,30,32,36,37,Family,414984497.0
148,30,32,36,37,Fantasy,414984497.0
149,31,33,37,38,Action,125320003.0
150,31,33,37,38,Adventure,125320003.0
151,31,33,37,38,Sci-Fi,125320003.0
152,32,34,38,39,Action,350034110.0
153,32,34,38,39,Crime,350034110.0
154,32,34,38,39,Thriller,350034110.0
155,11,35,39,40,Action,202351611.0
156,11,35,39,40,Adventure,202351611.0
157,11,35,39,40,Horror,202351611.0
158,11,35,39,40,Sci-Fi,202351611.0
159,11,35,39,40,Thriller,202351611.0
160,10,36,40,41,Action,233914986.0
161,10,36,40,41,Adventure,233914986.0
162,10,36,40,41,Fantasy,233914986.0
163,10,36,40,41,Sci-Fi,233914986.0
164,10,36,40,41,Thriller,233914986.0
165,33,37,41,42,Action,228756232.0
166,33,37,41,42,Adventure,228756232.0
167,33,37,41,42,Sci-Fi,228756232.0
168,10,38,42,43,Adventure,65171860.0
169,10,38,42,43,Fantasy,65171860.0
170,34,19,43,44,Drama,144812796.0
171,34,19,43,44,Romance,144812796.0
172,35,39,44,45,Action,90755643.0
173,35,39,44,45,Adventure,90755643.0
174,35,39,44,45,Fantasy,90755643.0
175,35,39,44,45,Romance,90755643.0
176,36,40,45,46,Action,101785482.0
177,36,40,45,46,Adventure,101785482.0
178,36,40,45,46,Sci-Fi,101785482.0
179,26,26,46,47,Action,352358779.0
180,26,26,46,47,Adventure,352358779.0
181,26,26,46,47,Sci-Fi,352358779.0
182,37,41,47,48,Action,317011114.0
183,37,41,47,48,Adventure,317011114.0
184,37,41,47,48,Fantasy,317011114.0
185,38,42,48,49,Adventure,123070338.0
186,38,42,48,49,Animation,123070338.0
187,38,42,48,49,Comedy,123070338.0
188,38,42,48,49,Family,123070338.0
189,38,42,48,49,Fantasy,123070338.0
190,39,43,36,50,Adventure,237282182.0
191,39,43,36,50,Animation,237282182.0
192,39,43,36,50,Comedy,237282182.0
193,39,43,36,50,Family,237282182.0
194,39,43,36,50,Fantasy,237282182.0
195,40,44,49,51,Action,130468626.0
196,40,44,49,51,Adventure,130468626.0
197,40,44,49,51,Sci-Fi,130468626.0
198,40,44,49,51,Thriller,130468626.0
199,4,45,50,52,Adventure,223806889.0
200,4,45,50,52,Animation,223806889.0
201,4,45,50,52,Family,223806889.0
202,4,45,50,52,Sci-Fi,223806889.0
203,24,46,51,53,Action,140080850.0
204,24,46,51,53,Comedy,140080850.0
205,24,46,51,53,Crime,140080850.0
206,24,46,51,53,Thriller,140080850.0
207,41,47,52,54,Action,166112167.0
208,41,47,52,54,Adventure,166112167.0
209,41,47,52,54,Sci-Fi,166112167.0
210,42,48,53,55,Animation,137850096.0
211,42,48,53,55,Drama,137850096.0
212,42,48,53,55,Family,137850096.0
213,42,48,53,55,Fantasy,137850096.0
214,43,49,33,56,Action,47375327.0
215,43,49,33,56,Adventure,47375327.0
216,43,49,33,56,Sci-Fi,47375327.0
217,8,2,24,57,Action,124051759.0
218,8,2,24,57,Adventure,124051759.0
219,8,2,24,57,Drama,124051759.0
220,8,2,24,57,Romance,124051759.0
221,12,50,54,58,Adventure,291709845.0
222,12,50,54,58,Family,291709845.0
223,12,50,54,58,Fantasy,291709845.0
224,10,36,55,59,Action,154985087.0
225,10,36,55,59,Adventure,154985087.0
226,10,36,55,59,Sci-Fi,154985087.0
227,3,33,56,60,Action,533316061.0
228,3,33,56,60,Crime,533316061.0
229,3,33,56,60,Drama,533316061.0
230,3,33,56,60,Thriller,533316061.0
231,44,45,57,61,Adventure,292979556.0
232,44,45,57,61,Animation,292979556.0
233,44,45,57,61,Comedy,292979556.0
234,44,45,57,61,Family,292979556.0
235,45,51,58,62,Action,198332128.0
236,45,51,58,62,Adventure,198332128.0
237,45,51,58,62,Animation,198332128.0
238,45,51,58,62,Comedy,198332128.0
239,45,51,58,62,Family,198332128.0
240,45,51,58,62,Sci-Fi,198332128.0
241,46,20,59,63,Action,318298180.0
242,46,20,59,63,Adventure,318298180.0
243,46,20,59,63,Sci-Fi,318298180.0
244,47,52,60,64,Adventure,73820094.0
245,47,52,60,64,Drama,73820094.0
246,47,52,60,64,Family,73820094.0
247,47,52,60,64,Mystery,73820094.0
248,14,13,61,65,Action,113745408.0
249,14,13,61,65,Comedy,113745408.0
250,14,13,61,65,Sci-Fi,113745408.0
251,14,13,61,65,Western,113745408.0
252,48,53,62,66,Action,102176165.0
253,48,53,62,66,Adventure,102176165.0
254,48,53,62,66,Fantasy,102176165.0
255,48,53,62,66,Horror,102176165.0
256,48,53,62,66,Thriller,102176165.0
257,49,13,63,67,Action,161087183.0
258,49,13,63,67,Adventure,161087183.0
259,49,13,63,67,Comedy,161087183.0
260,49,13,63,67,Sci-Fi,161087183.0
261,50,54,64,68,Comedy,100289690.0
262,50,54,64,68,Family,100289690.0
263,50,54,64,68,Fantasy,100289690.0
264,51,55,65,69,Action,100189501.0
265,51,55,65,69,Adventure,100189501.0
266,51,55,65,69,Sci-Fi,100189501.0
267,52,56,66,70,Action,88246220.0
268,52,56,66,70,Adventure,88246220.0
269,52,56,66,70,Sci-Fi,88246220.0
270,52,56,66,70,Thriller,88246220.0
271,53,57,67,71,Action,150167630.0
272,53,57,67,71,Adventure,150167630.0
273,53,57,67,71,Sci-Fi,150167630.0
274,53,57,67,71,Thriller,150167630.0
275,44,51,68,72,Adventure,356454367.0
276,44,51,68,72,Animation,356454367.0
277,44,51,68,72,Comedy,356454367.0
278,44,51,68,72,Drama,356454367.0
279,44,51,68,72,Family,356454367.0
280,44,51,68,72,Fantasy,356454367.0
281,46,58,69,73,Adventure,362645141.0
282,46,58,69,73,Drama,362645141.0
283,46,58,69,73,Family,362645141.0
284,46,58,69,73,Fantasy,362645141.0
285,46,20,23,63,Action,312057433.0
286,46,20,23,63,Adventure,312057433.0
287,46,20,23,63,Sci-Fi,312057433.0
288,54,7,70,74,Action,155111815.0
289,54,7,70,74,Adventure,155111815.0
290,54,7,70,74,Drama,155111815.0
291,54,7,70,74,Fantasy,155111815.0
292,55,59,71,75,Action,241407328.0
293,55,59,71,75,Adventure,241407328.0
294,55,59,71,75,Family,241407328.0
295,55,59,71,75,Fantasy,241407328.0
296,55,59,71,75,Romance,241407328.0
297,56,60,25,76,Action,208543795.0
298,56,60,25,76,Adventure,208543795.0
299,56,60,25,76,Drama,208543795.0
300,56,60,25,76,Sci-Fi,208543795.0
301,57,61,72,77,Action,38297305.0
302,57,61,72,77,Adventure,38297305.0
303,57,61,72,77,Drama,38297305.0
304,57,61,72,77,Fantasy,38297305.0
305,19,58,73,78,Action,259746958.0
306,19,58,73,78,Adventure,259746958.0
307,19,58,73,78,Sci-Fi,259746958.0
308,58,62,74,79,Adventure,238371987.0
309,58,62,74,79,Animation,238371987.0
310,58,62,74,79,Comedy,238371987.0
311,58,62,74,79,Family,238371987.0
312,58,62,74,79,Fantasy,238371987.0
313,59,63,75,80,Action,93417865.0
314,59,63,75,80,Adventure,93417865.0
315,59,63,75,80,Family,93417865.0
316,59,63,75,80,Mystery,93417865.0
317,59,63,75,80,Sci-Fi,93417865.0
318,60,64,76,81,Action,222487711.0
319,60,64,76,81,Adventure,222487711.0
320,60,64,76,81,Animation,222487711.0
321,60,64,76,81,Comedy,222487711.0
322,60,64,76,81,Drama,222487711.0
323,60,64,76,81,Family,222487711.0
324,60,64,76,81,Sci-Fi,222487711.0
325,61,65,77,82,Adventure,189412677.0
326,61,65,77,82,Animation,189412677.0
327,61,65,77,82,Comedy,189412677.0
328,61,65,77,82,Family,189412677.0
329,61,65,77,82,Sci-Fi,189412677.0
330,42,32,78,83,Adventure,665426.0
331,42,32,78,83,Animation,665426.0
332,42,32,78,83,Family,665426.0
333,42,32,78,83,Fantasy,665426.0
334,41,66,79,84,Action,102315545.0
335,41,66,79,84,Adventure,102315545.0
336,41,66,79,84,Sci-Fi,102315545.0
337,62,67,80,85,Adventure,217387997.0
338,62,67,80,85,Animation,217387997.0
339,62,67,80,85,Family,217387997.0
340,62,67,80,85,Fantasy,217387997.0
341,63,68,81,86,Action,150350192.0
342,63,68,81,86,Sci-Fi,150350192.0
343,64,69,82,87,Action,333130696.0
344,64,69,82,87,Adventure,333130696.0
345,64,69,82,87,Sci-Fi,333130696.0
346,3,70,83,88,Adventure,187991439.0
347,3,70,83,88,Drama,187991439.0
348,3,70,83,88,Sci-Fi,187991439.0
349,3,19,84,3,Action,292568851.0
350,3,19,84,3,Adventure,292568851.0
351,3,19,84,3,Sci-Fi,292568851.0
352,3,19,84,3,Thriller,292568851.0
353,15,14,17,17,Adventure,303001229.0
354,15,14,17,17,Fantasy,303001229.0
355,48,71,82,89,Action,144512310.0
356,48,71,82,89,Crime,144512310.0
357,48,71,82,89,Thriller,144512310.0
358,65,72,85,90,Drama,127490802.0
359,65,72,85,90,Fantasy,127490802.0
360,65,72,85,90,Romance,127490802.0
361,66,36,55,91,Action,146405371.0
362,66,36,55,91,Adventure,146405371.0
363,66,36,55,91,Sci-Fi,146405371.0
364,67,36,86,92,Adventure,281666058.0
365,67,36,86,92,Sci-Fi,281666058.0
366,68,73,87,93,Action,63143812.0
367,68,73,87,93,Adventure,63143812.0
368,68,73,87,93,Family,63143812.0
369,68,73,87,93,Fantasy,63143812.0
370,69,54,88,94,Action,60655503.0
371,69,54,88,94,Adventure,60655503.0
372,69,54,88,94,Drama,60655503.0
373,69,54,88,94,Thriller,60655503.0
374,70,1,28,27,Adventure,76846624.0
375,70,1,28,27,Family,76846624.0
376,70,1,28,27,Fantasy,76846624.0
377,71,74,89,95,Adventure,320706665.0
378,71,74,89,95,Animation,320706665.0
379,71,74,89,95,Comedy,320706665.0
380,71,74,89,95,Family,320706665.0
381,71,74,89,95,Fantasy,320706665.0
382,72,75,90,96,Action,46978995.0
383,72,75,90,96,Adventure,46978995.0
384,72,75,90,96,Fantasy,46978995.0
385,73,5,91,97,Action,89732035.0
386,73,5,91,97,Adventure,89732035.0
387,73,5,91,97,Sci-Fi,89732035.0
388,74,76,92,98,Adventure,104383624.0
389,74,76,92,98,Family,104383624.0
390,74,76,92,98,Fantasy,104383624.0
391,26,77,93,99,Action,198539855.0
392,26,77,93,99,Drama,198539855.0
393,26,77,93,99,History,198539855.0
394,26,77,93,99,Romance,198539855.0
395,26,77,93,99,War,198539855.0
396,26,78,94,47,Action,318759914.0
397,26,78,94,47,Adventure,318759914.0
398,26,78,94,47,Sci-Fi,318759914.0
399,75,79,95,100,Action,34293771.0
400,75,79,95,100,Adventure,34293771.0
401,75,79,95,100,Biography,34293771.0
402,75,79,95,100,Drama,34293771.0
403,75,79,95,100,History,34293771.0
404,75,79,95,100,Romance,34293771.0
405,75,79,95,100,War,34293771.0
406,8,80,8,101,Adventure,292000866.0
407,8,80,8,101,Family,292000866.0
408,8,80,8,101,Fantasy,292000866.0
409,8,80,8,101,Mystery,292000866.0
410,35,80,8,8,Adventure,289994397.0
411,35,80,8,8,Family,289994397.0
412,35,80,8,8,Fantasy,289994397.0
413,35,80,8,8,Mystery,289994397.0
414,20,13,96,102,Action,227946274.0
415,20,13,96,102,Drama,227946274.0
416,67,13,97,103,Drama,256386216.0
417,67,13,97,103,Horror,256386216.0
418,67,13,97,103,Sci-Fi,256386216.0
419,23,1,60,104,Adventure,206456431.0
420,23,1,60,104,Comedy,206456431.0
421,23,1,60,104,Family,206456431.0
422,23,1,60,104,Fantasy,206456431.0
423,59,81,36,105,Animation,206435493.0
424,59,81,36,105,Comedy,206435493.0
425,59,81,36,105,Family,206435493.0
426,59,81,36,105,Fantasy,206435493.0
427,3,33,98,60,Action,205343774.0
428,3,33,98,60,Adventure,205343774.0
429,76,82,99,106,Action,179982968.0
430,76,82,99,106,Adventure,179982968.0
431,76,82,99,106,Animation,179982968.0
432,76,82,99,106,Comedy,179982968.0
433,76,82,99,106,Family,179982968.0
434,77,83,100,107,Adventure,177243721.0
435,77,83,100,107,Comedy,177243721.0
436,77,83,100,107,Family,177243721.0
437,77,83,100,107,Fantasy,177243721.0
438,78,24,101,108,Action,179883016.0
439,78,24,101,108,Adventure,179883016.0
440,78,24,101,108,Fantasy,179883016.0
441,78,24,101,108,Sci-Fi,179883016.0
442,78,24,101,108,Thriller,179883016.0
443,43,84,102,109,Action,139259759.0
444,43,84,102,109,Sci-Fi,139259759.0
445,79,85,103,110,Adventure,400736600.0
446,79,85,103,110,Animation,400736600.0
447,79,85,103,110,Comedy,400736600.0
448,79,85,103,110,Family,400736600.0
449,79,85,103,110,Fantasy,400736600.0
450,79,85,103,110,Musical,400736600.0
451,43,86,104,111,Action,281492479.0
452,43,86,104,111,Sci-Fi,281492479.0
453,73,7,105,112,Action,206360018.0
454,73,7,105,112,Adventure,206360018.0
455,73,7,105,112,Fantasy,206360018.0
456,80,3,96,113,Action,153629485.0
457,80,3,96,113,Adventure,153629485.0
458,80,3,96,113,Sci-Fi,153629485.0
459,80,3,96,113,Thriller,153629485.0
460,81,32,106,114,Mystery,133375846.0
461,81,32,106,114,Thriller,133375846.0
462,82,7,105,112,Action,181015141.0
463,82,7,105,112,Adventure,181015141.0
464,82,7,105,112,Fantasy,181015141.0
465,83,52,107,115,Adventure,114053579.0
466,83,52,107,115,Animation,114053579.0
467,83,52,107,115,Comedy,114053579.0
468,83,52,107,115,Drama,114053579.0
469,83,52,107,115,Family,114053579.0
470,84,87,108,116,Action,119420252.0
471,84,87,108,116,Adventure,119420252.0
472,84,87,108,116,Animation,119420252.0
473,84,87,108,116,Comedy,119420252.0
474,84,87,108,116,Family,119420252.0
475,84,87,108,116,Fantasy,119420252.0
476,84,87,108,116,Sci-Fi,119420252.0
477,85,21,109,117,Action,83640426.0
478,85,21,109,117,Adventure,83640426.0
479,85,21,109,117,Fantasy,83640426.0
480,23,1,110,118,Comedy,79711678.0
481,23,1,110,118,Fantasy,79711678.0
482,23,1,110,118,Horror,79711678.0
483,86,55,111,119,Action,195000874.0
484,86,55,111,119,Adventure,195000874.0
485,86,55,111,119,Thriller,195000874.0
486,87,79,112,120,Drama,61937495.0
487,87,79,112,120,Fantasy,61937495.0
488,87,79,112,120,Horror,61937495.0
489,87,79,112,120,Thriller,61937495.0
490,8,2,24,57,Action,124051759.0
491,8,2,24,57,Adventure,124051759.0
492,8,2,24,57,Drama,124051759.0
493,8,2,24,57,Romance,124051759.0
494,88,88,113,121,Adventure,126597121.0
495,88,88,113,121,Animation,126597121.0
496,88,88,113,121,Comedy,126597121.0
497,88,88,113,121,Family,126597121.0
498,89,59,114,122,Action,165230261.0
499,89,59,114,122,Adventure,165230261.0
500,89,59,114,122,Animation,165230261.0
501,89,59,114,122,Comedy,165230261.0
502,89,59,114,122,Family,165230261.0
503,90,89,115,123,Action,131564731.0
504,90,89,115,123,Adventure,131564731.0
505,90,89,115,123,Family,131564731.0
506,90,89,115,123,Fantasy,131564731.0
507,33,90,116,102,Action,133382309.0
508,33,90,116,102,Adventure,133382309.0
509,33,90,116,102,Thriller,133382309.0
510,41,49,117,124,Action,73103784.0
511,41,49,117,124,Drama,73103784.0
512,41,49,117,124,Thriller,73103784.0
513,91,91,118,125,Action,21379315.0
514,91,91,118,125,Adventure,21379315.0
515,91,91,118,125,Animation,21379315.0
516,91,91,118,125,Comedy,21379315.0
517,91,91,118,125,Family,21379315.0
518,91,91,118,125,Sci-Fi,21379315.0
519,92,24,22,126,Adventure,64459316.0
520,92,24,22,126,Animation,64459316.0
521,92,24,22,126,Comedy,64459316.0
522,92,24,22,126,Family,64459316.0
523,93,24,119,127,Adventure,34964818.0
524,93,24,119,127,Family,34964818.0
525,93,24,119,127,Fantasy,34964818.0
526,94,92,120,128,Adventure,111505642.0
527,94,92,120,128,Animation,111505642.0
528,94,92,120,128,Comedy,111505642.0
529,94,92,120,128,Family,111505642.0
530,94,92,120,128,Sci-Fi,111505642.0
531,69,72,1,129,Adventure,133228348.0
532,76,93,121,106,Adventure,216366733.0
533,76,93,121,106,Animation,216366733.0
534,76,93,121,106,Comedy,216366733.0
535,76,93,121,106,Family,216366733.0
536,95,94,122,130,Action,160201106.0
537,95,94,122,130,Adventure,160201106.0
538,95,94,122,130,Thriller,160201106.0
539,96,95,123,131,Action,118099659.0
540,96,95,123,131,Comedy,118099659.0
541,96,95,123,131,Fantasy,118099659.0
542,96,95,123,131,Sci-Fi,118099659.0
543,26,96,124,132,Action,201573391.0
544,26,96,124,132,Adventure,201573391.0
545,26,96,124,132,Sci-Fi,201573391.0
546,26,96,124,132,Thriller,201573391.0
547,14,13,125,121,Action,190418803.0
548,14,13,125,121,Adventure,190418803.0
549,14,13,125,121,Comedy,190418803.0
550,14,13,125,121,Family,190418803.0
551,14,13,125,121,Fantasy,190418803.0
552,14,13,125,121,Mystery,190418803.0
553,14,13,125,121,Sci-Fi,190418803.0
554,42,48,126,133,Action,82161969.0
555,42,48,126,133,Adventure,82161969.0
556,42,48,126,133,Animation,82161969.0
557,42,48,126,133,Fantasy,82161969.0
558,97,5,95,134,Action,143523463.0
559,97,5,95,134,Adventure,143523463.0
560,97,5,95,134,Animation,143523463.0
561,97,5,95,134,Comedy,143523463.0
562,97,5,95,134,Family,143523463.0
563,59,55,111,135,Action,209364921.0
564,59,55,111,135,Adventure,209364921.0
565,59,55,111,135,Thriller,209364921.0
566,98,24,127,136,Adventure,103400692.0
567,98,24,127,136,Animation,103400692.0
568,98,24,127,136,Family,103400692.0
569,98,24,127,136,Fantasy,103400692.0
570,99,97,128,137,Comedy,110332737.0
571,99,97,128,137,Crime,110332737.0
572,100,55,129,138,Action,111110575.0
573,100,55,129,138,Drama,111110575.0
574,100,55,129,138,History,111110575.0
575,100,55,129,138,War,111110575.0
576,17,33,130,139,Action,65007045.0
577,17,33,130,139,Adventure,65007045.0
578,17,33,130,139,Drama,65007045.0
579,33,7,131,140,Action,257704099.0
580,33,7,131,140,Adventure,257704099.0
581,33,7,131,140,Sci-Fi,257704099.0
582,5,5,5,5,Action,403706375.0
583,5,5,5,5,Adventure,403706375.0
584,5,5,5,5,Fantasy,403706375.0
585,5,5,5,5,Romance,403706375.0
586,62,67,132,141,Action,176997107.0
587,62,67,132,141,Adventure,176997107.0
588,62,67,132,141,Animation,176997107.0
589,62,67,132,141,Comedy,176997107.0
590,62,67,132,141,Family,176997107.0
591,62,67,132,141,Fantasy,176997107.0
592,101,67,133,142,Action,31141074.0
593,101,67,133,142,Adventure,31141074.0
594,101,67,133,142,Fantasy,31141074.0
595,48,98,134,143,Action,31704416.0
596,48,98,134,143,Adventure,31704416.0
597,48,98,134,143,Sci-Fi,31704416.0
598,48,98,134,143,Thriller,31704416.0
599,9,99,135,144,Action,107503316.0
600,9,99,135,144,Drama,107503316.0
601,9,99,135,144,Mystery,107503316.0
602,9,99,135,144,Sci-Fi,107503316.0
603,102,53,136,145,Action,129734803.0
604,102,53,136,145,Crime,129734803.0
605,102,53,136,145,Thriller,129734803.0
606,103,100,137,146,Action,132122995.0
607,103,100,137,146,Sci-Fi,132122995.0
608,104,49,138,147,Action,122512052.0
609,104,49,138,147,Adventure,122512052.0
610,104,49,138,147,Sci-Fi,122512052.0
611,104,49,138,147,Thriller,122512052.0
612,105,70,58,148,Action,68642452.0
613,105,70,58,148,Adventure,68642452.0
614,105,70,58,148,Comedy,68642452.0
615,105,70,58,148,Thriller,68642452.0
616,106,25,139,149,Action,32131830.0
617,106,25,139,149,Adventure,32131830.0
618,106,25,139,149,Animation,32131830.0
619,106,25,139,149,Fantasy,32131830.0
620,106,25,139,149,Romance,32131830.0
621,106,25,139,149,Sci-Fi,32131830.0
622,87,101,140,78,Action,176636816.0
623,87,101,140,78,Adventure,176636816.0
624,87,101,140,78,Sci-Fi,176636816.0
625,74,102,141,150,Action,126930660.0
626,74,102,141,150,Adventure,126930660.0
627,74,102,141,150,Thriller,126930660.0
628,107,103,142,151,Action,93926386.0
629,107,103,142,151,Adventure,93926386.0
630,107,103,142,151,Drama,93926386.0
631,107,103,142,151,History,93926386.0
632,107,103,142,151,War,93926386.0
633,108,80,70,152,Adventure,292298923.0
634,108,80,70,152,Drama,292298923.0
635,108,80,70,152,Fantasy,292298923.0
636,108,80,70,152,Romance,292298923.0
637,80,83,39,38,Animation,63992328.0
638,80,83,39,38,Comedy,63992328.0
639,80,83,39,38,Family,63992328.0
640,80,83,39,38,Musical,63992328.0
641,109,92,143,153,Action,134518390.0
642,109,92,143,153,Adventure,134518390.0
643,109,92,143,153,Sci-Fi,134518390.0
644,37,104,144,154,Adventure,52792307.0
645,37,104,144,154,Family,52792307.0
646,37,104,144,154,Fantasy,52792307.0
647,110,19,84,155,Adventure,183635922.0
648,110,19,84,155,Drama,183635922.0
649,110,19,84,155,Thriller,183635922.0
650,110,19,84,155,Western,183635922.0
651,111,31,145,156,Adventure,83024900.0
652,111,31,145,156,Animation,83024900.0
653,111,31,145,156,Comedy,83024900.0
654,111,31,145,156,Family,83024900.0
655,111,31,145,156,Sport,83024900.0
656,1,1,47,157,Adventure,123207194.0
657,1,1,47,157,Animation,123207194.0
658,1,1,47,157,Comedy,123207194.0
659,1,1,47,157,Family,123207194.0
660,1,1,47,157,Western,123207194.0
661,76,37,146,158,Adventure,83348920.0
662,76,37,146,158,Animation,83348920.0
663,76,37,146,158,Comedy,83348920.0
664,76,37,146,158,Family,83348920.0
665,112,105,109,159,Action,227137090.0
666,112,105,109,159,Mystery,227137090.0
667,112,105,109,159,Thriller,227137090.0
668,113,59,147,160,Action,215395021.0
669,113,59,147,160,Adventure,215395021.0
670,113,59,147,160,Animation,215395021.0
671,113,59,147,160,Comedy,215395021.0
672,113,59,147,160,Family,215395021.0
673,114,63,148,161,Action,180191634.0
