,director_name,actor_2_name,gross,actor_1_name,actor_3_name,plot_keywords
73,David Ayer,Robin Atkin Downes,161087183.0,Will Smith,Ike Barinholtz,based on comic book|critically bashed|father daughter relationship|reference to superman|super villain
74,Tom Shadyac,Morgan Freeman,100289690.0,Jimmy Bennett,Steve Carell,ark|change|congressman|depiction of god|flood
75,Doug Liman,Lara Pulver,100189501.0,Tom Cruise,Noah Taylor,alien|combat|dying repeatedly|end of the world|time loop
76,Kevin Reynolds,Rick Aviles,88246220.0,Jeanne Tripplehorn,Zakes Mokae,future|sail|sea|smoker|water
77,Stephen Sommers,Dennis Quaid,150167630.0,Joseph Gordon-Levitt,Leo Howard,cobra|gi joe|snake|train|warhead
78,Pete Docter,Mindy Kaling,356454367.0,Amy Poehler,Phyllis Smith,anger|joy|memory|running away|sadness
79,Jon Favreau,Bill Murray,362645141.0,Scarlett Johansson,Garry Shandling,fire|jungle|remake|tiger|wolf
80,Jon Favreau,Scarlett Johansson,312057433.0,Robert Downey Jr.,Jon Favreau,hammer|military|monaco|revenge|tony stark
81,Rupert Sanders,Kristen Stewart,155111815.0,Chris Hemsworth,Sam Claflin,evil queen|fairy tale|magic|queen|snow white
82,Robert Stromberg,Sharlto Copley,241407328.0,Angelina Jolie Pitt,Sam Riley,curse|dark fantasy|fairy|king|kingdom
83,Matt Reeves,Judy Greer,208543795.0,Gary Oldman,Kodi Smit-McPhee,ape|dam|leader|post apocalypse|sequel
85,Carl Rinsch,Cary-Hiroyuki Tagawa,38297305.0,Keanu Reeves,Jin Akanishi,box office flop|ronin|samurai|shogun|tournament
86,Anthony Russo,Chris Evans,259746958.0,Scarlett Johansson,Hayley Atwell,conspiracy|heroism|megalomaniac|super soldier|world domination
87,Mike Mitchell,Kathy Griffin,238371987.0,Jon Hamm,Mary Kay Place,alternate world|fairy tale parody|female warrior|ogre|true love
88,Brad Bird,Chris Bauer,93417865.0,Judy Greer,Thomas Robinson,boy genius|futuristic city|inventor|teenage girl|time travel
89,Don Hall,Daniel Henney,222487711.0,Damon Wayans Jr.,Abraham Benrubi,high tech|martial arts|masked man|robot|superhero
90,Rich Moore,Sarah Silverman,189412677.0,Jack McBrayer,Joe Lo Truglio,arcade|candy|glitch|king|medal
91,Robert Zemeckis,Eddie Deezen,665426.0,Tom Hanks,Peter Scolari,boy|christmas|christmas eve|north pole|train
92,Roland Emmerich,Sela Ward,102315545.0,Vivica A. Fox,Judd Hirsch,alien|battle|defense|independence day|mothership
93,Dean DeBlois,America Ferrera,217387997.0,Gerard Butler,Craig Ferguson,dragon|island|training|viking|village
94,Jonathan Mostow,M.C. Gainey,150350192.0,Nick Stahl,Carolyn Hennesy,drifter|exploding truck|future|machine|skynet
95,James Gunn,Vin Diesel,333130696.0,Bradley Cooper,Djimon Hounsou,bounty hunter|outer space|raccoon|talking animal|tree
96,Christopher Nolan,Anne Hathaway,187991439.0,Matthew McConaughey,Mackenzie Foy,black hole|father daughter relationship|saving the world|space travel|wormhole
97,Christopher Nolan,Tom Hardy,292568851.0,Leonardo DiCaprio,Joseph Gordon-Levitt,ambiguous ending|corporate espionage|dream|subconscious|thief
99,Peter Jackson,Adam Brown,303001229.0,Aidan Turner,James Nesbitt,dragon|dwarf|hobbit|orc|wizard
100,Rob Cohen,Vin Diesel,144512310.0,Paul Walker,Jordana Brewster,eighteen wheeler|illegal street racing|truck|trucker|undercover cop
101,David Fincher,Jason Flemyng,127490802.0,Brad Pitt,Julia Ormond,deformed baby|diary|lingerie slip|older man younger woman relationship|premature aging
102,Matthew Vaughn,Michael Fassbender,146405371.0,Jennifer Lawrence,Oliver Platt,cia|cia agent|mutant|nuclear war|professor
103,Francis Lawrence,Philip Seymour Hoffman,281666058.0,Jennifer Lawrence,Josh Hutcherson,death of sister|dystopia|execution|rebellion|revolution
104,Jon Turteltaub,Omar Benson Miller,63143812.0,Nicolas Cage,Robert Capron,chosen one|enchanted object|love|spell|training
105,Wolfgang Petersen,Mike Vogel,60655503.0,Jimmy Bennett,Andre Braugher,cruise|escape|ocean|passenger|water
106,James Bobin,Alan Rickman,76846624.0,Johnny Depp,Anne Hathaway,clock|dark fantasy|mad hatter|queen|sequel
107,Chris Miller,Eric Idle,320706665.0,Justin Timberlake,Rupert Everett,disney spoof|fairy tale|prince|princess|tough guy
108,Duncan Jones,Callum Rennie,46978995.0,Dominic Cooper,Ruth Negga,based on video game|fictional language|fictional war|orc|sword and sorcery
109,Alan Taylor,Emilia Clarke,89732035.0,J.K. Simmons,Matt Smith,alternate timeline|cyborg|future|robot|time machine
110,Michael Apted,Shane Rangi,104383624.0,Bruce Spence,Laura Brent,dragon|king|mouse|quest|warrior
111,Michael Bay,Jaime King,198539855.0,Jennifer Garner,Mako,air raid|black smoke|japanese military|japanese navy|sunday
112,Michael Bay,Michael O'Neill,318759914.0,Zack Ward,Kevin Dunn,alien contact|autobot|decepticon|robot vs. robot|teenage hero
113,Oliver Stone,Angelina Jolie Pitt,34293771.0,Anthony Hopkins,Brian Blessed,ancient greece|conquest|greek|greek myth|king
114,David Yates,Daniel Radcliffe,292000866.0,Robert Pattinson,Fiona Shaw,battle|magic|school|teacher|wizard
115,Mike Newell,Daniel Radcliffe,289994397.0,Robert Pattinson,Rupert Grint,fire|goblet|magic|tournament|wizard
116,Peter Berg,Charlize Theron,227946274.0,Will Smith,Eddie Marsan,bully comeuppance|destruction|prison|superhero|tough girl
117,Francis Lawrence,Alice Braga,256386216.0,Will Smith,Willow Smith,new york city|pandemic|post apocalypse|survivalist|virus
118,Tim Burton,Christopher Lee,206456431.0,Johnny Depp,David Kelly,chocolate|diminution|miniaturization|physical flexability|ticket
119,Brad Bird,John Ratzenberger,206435493.0,Janeane Garofalo,Brian Dennehy,chef|food|french|rat|restaurant
120,Christopher Nolan,Liam Neeson,205343774.0,Christian Bale,Morgan Freeman,armored car|gangster|gotham|mixed martial arts|social decay
121,Eric Darnell,Jada Pinkett Smith,179982968.0,Bernie Mac,Cedric the Entertainer,africa|madagascar|new york city|sequel|zoo
122,Shawn Levy,Rami Malek,177243721.0,Robin Williams,Steve Coogan,hdtv|motorcycle|museum|security guard|tyrannosaurus rex
123,Gavin Hood,Ryan Reynolds,179883016.0,Hugh Jackman,Dominic Monaghan,army|civil war|claw fight|commando|wolverine the character
124,Lana Wachowski,Collin Chou,139259759.0,Essie Davis,Nona Gaye,battle|epic|fight|future|machine
125,Chris Buck,Maurice LaMarche,400736600.0,Josh Gad,Livvy Stubenrauch,magic|sister love|sister sister relationship|snow|snowman
126,Lana Wachowski,Daniel Bernhardt,281492479.0,Steve Bastoni,Helmut Bakaitis,car motorcycle chase|one against many|oracle|prophecy|stylized violence
127,Alan Taylor,Natalie Portman,206360018.0,Chris Hemsworth,Anthony Hopkins,arrest|portal|thor|warrior|weapon
128,George Miller,Charlize Theron,153629485.0,Tom Hardy,Zoë Kravitz,australia|desert|escape|on the run|post apocalypse
129,Ron Howard,Ayelet Zurer,133375846.0,Tom Hanks,Armin Mueller-Stahl,conclave|illuminati|murder|reference to bernini|reference to raphael
130,Kenneth Branagh,Natalie Portman,181015141.0,Chris Hemsworth,Anthony Hopkins,battle|marvel cinematic universe|scientist|thor|throne
131,Byron Howard,Diedrich Bader,114053579.0,Chloë Grace Moretz,James Lipton,cat|dog|hamster|new york city|superpower
132,Hoyt Yeatman,Piper Mackenzie Harris,119420252.0,Kelli Garner,Niecy Nash,fbi director|guinea pig|household appliance|secret agent|talking mouse
133,Jonathan Liebesman,Edgar Ramírez,83640426.0,Liam Neeson,Lily James,ares|hades|titan|underworld|zeus
134,Tim Burton,Chloë Grace Moretz,79711678.0,Johnny Depp,Christopher Lee,camera shot of feet|cartoon on tv|female stockinged feet|female stockinged soles|foot closeup
135,Christopher McQuarrie,Jeremy Renner,195000874.0,Tom Cruise,Sean Harris,capture|computer hacker|mission|rogue agent|spy
136,Joe Johnston,Simon Merrells,61937495.0,Anthony Hopkins,Art Malik,asylum|death|full moon|transformation|werewolf
137,David Yates,Alexander Skarsgård,124051759.0,Christoph Waltz,Casper Crump,africa|capture|jungle|male objectification|tarzan
138,Steve Hickner,Oprah Winfrey,126597121.0,Matthew Broderick,Rip Torn,bee|dream sequence|egg|scatological humor|squashed bug
139,Jennifer Yuh Nelson,Gary Oldman,165230261.0,Angelina Jolie Pitt,Mike Bell,china|kung fu|panda|peacock|tigress
140,M. Night Shyamalan,Noah Ringer,131564731.0,Seychelle Gabriel,Aasif Mandvi,avatar|fire|kingdom|tribe|water
141,J.J. Abrams,Tom Cruise,133382309.0,Philip Seymour Hoffman,Eddie Marsan,arms dealer|fictional government agency|mission|rescue|vatican
142,Roland Emmerich,Jake Weber,73103784.0,Channing Tatum,Matt Craven,black u.s. president|president|secret service|tour|white house
143,Simon Wells,Dan Fogler,21379315.0,Elisabeth Harnois,Tom Everett Scott,boy|martian|rescue|robot|sexism
144,David Bowers,Kate Winslet,64459316.0,Hugh Jackman,David Suchet,boat|frog|rat|sewer|toad
145,Joe Wright,Cara Delevingne,34964818.0,Hugh Jackman,Nonso Anozie,1940s|child hero|fantasy world|orphan|reference to peter pan
146,Rob Minkoff,Zach Callison,111505642.0,Ty Burrell,Karan Brar,dog|father son relationship|inventor|talking dog|time travel
147,Wolfgang Petersen,Orlando Bloom,133228348.0,Brad Pitt,Julian Glover,greek|mythology|prince|trojan|troy
148,Eric Darnell,Martin Short,216366733.0,Jada Pinkett Smith,Cedric the Entertainer,animal|circus|island name in title|lemur|penguin
149,Lee Tamahori,Colin Salmon,160201106.0,Toby Stephens,Rick Yune,catfight|clinic|colonel|diamond|patricide
150,Paul Feig,Kate McKinnon,118099659.0,Ed Begley Jr.,Zach Woods,ghost|ghostbuster|ghostbusters|male objectification|reboot
151,Michael Bay,Steve Buscemi,201573391.0,Bruce Willis,Will Patton,asteroid|astronaut|bomb|meteorite|outer space
152,Barry Sonnenfeld,Rosario Dawson,190418803.0,Will Smith,Rip Torn,alien|lingerie|lingerie model|m.i.b.|pug
153,Robert Zemeckis,Anthony Hopkins,82161969.0,Robin Wright,Sebastian Roché,creature|demon|king|reward|warrior
154,Alessandro Carloni,Angelina Jolie Pitt,143523463.0,J.K. Simmons,Wayne Knight,china|kung fu|panda|pig|village
155,Brad Bird,Jeremy Renner,209364921.0,Tom Cruise,Michael Nyqvist,dubai|kremlin|race against time|russian|terrorist
156,Peter Ramsey,Kamil McFadden,103400692.0,Hugh Jackman,Khamani Griffin,belief|box office hit|children|new york city|tooth
157,Dean Parisot,Richard Burgi,110332737.0,John Michael Higgins,David Herman,animal abuse|ceo|heist|suburb|unemployment
158,Edward Zwick,Tony Goldwyn,111110575.0,Tom Cruise,Chad Lindberg,captain|emperor|honor|japan|samurai
159,Ridley Scott,María Valverde,65007045.0,Christian Bale,Ben Mendelsohn,egypt|exodus|moses|pharaoh|plague
160,J.J. Abrams,Leonard Nimoy,257704099.0,Chris Hemsworth,Bruce Greenwood,box office hit|future|lifted by the throat|star trek|vulcan
161,Sam Raimi,James Franco,403706375.0,J.K. Simmons,Kirsten Dunst,evil|goblin|spider|spider man|superhero
162,Dean DeBlois,Djimon Hounsou,176997107.0,Gerard Butler,America Ferrera,dragon|father son relationship|husband wife relationship|mother son relationship|viking
163,Alex Proyas,Elodie Yung,31141074.0,Gerard Butler,Bryan Brown,ancient egypt|egypt|egyptian|egyptian god|egyptian goddess
164,Rob Cohen,Joe Morton,31704416.0,Sam Shepard,Richard Roxburgh,artificial intelligence|box office flop|fighter jet|navy|pilot
165,Zack Snyder,Billy Crudup,107503316.0,Matt Frewer,Stephen McHattie,conspiracy|cynicism|false promise of the american dream|male full frontal nudity|male nudity
166,Richard Donner,Rene Russo,129734803.0,Jet Li,Darlene Love,kung fu|lapd|martial arts|private investigator|triad
167,Ang Lee,Regi Davis,132122995.0,Kevin Rankin,Celia Weston,1980s|c 130 hercules|monster|panzer|san francisco california
168,Jon M. Chu,Dwayne Johnson,122512052.0,Channing Tatum,Elodie Yung,general|gi joe|martial arts|ninja|president
169,Breck Eisner,Rainn Wilson,68642452.0,Matthew McConaughey,Delroy Lindo,beach|civil war|desert|dictator|ship
170,Hironobu Sakaguchi,Ming-Na Wen,32131830.0,Steve Buscemi,Jean Simmons,general|military|scientist|soldier|year 2065
171,Joe Johnston,Dominic Cooper,176636816.0,Chris Evans,Hayley Atwell,arctic|captain america|scientist|tesseract|war bond
172,Michael Apted,Maria Grazia Cucinotta,126930660.0,Colin Salmon,Desmond Llewelyn,british|oil|scientist|terrorist|tycoon
173,Peter Weir,Lee Ingleby,93926386.0,James D'Arcy,David Threlfall,1800s|napoleonic wars|pursuit|royal navy|ship
174,Bill Condon,Kristen Stewart,292298923.0,Robert Pattinson,Taylor Lautner,battle|friend|super strength|vampire|vision
175,George Miller,Brad Pitt,63992328.0,Robin Williams,Common,3d|antarctica|krill|penguin|sequel
176,Louis Leterrier,Peter Mensah,134518390.0,Ty Burrell,William Hurt,antidote|cure|hulk|marvel cinematic universe|opening action scene
178,Steven Spielberg,Penelope Wilton,52792307.0,Mark Rylance,Rafe Spall,cannibal|evil brother|giant|london england|queen
179,Alejandro G. Iñárritu,Tom Hardy,183635922.0,Leonardo DiCaprio,Lukas Haas,bear attack|cauterizing a wound|native american|revenge|survival
180,David Soren,Snoop Dogg,83024900.0,Ryan Reynolds,Ben Schwartz,accident|freak accident|race|snail|underdog
181,Gore Verbinski,Ray Winstone,123207194.0,Johnny Depp,Stephen Root,chameleon|lizard|sheriff|water|western town
182,Eric Darnell,Annet Mahendru,83348920.0,Benedict Cumberbatch,Andy Richter,little girl|park|spy|statue of liberty|television van
183,Paul Greengrass,Edgar Ramírez,227137090.0,Matt Damon,Albert Finney,action hero|cia|dark past|flashback|memory
184,Mark Osborne,Wayne Knight,215395021.0,Angelina Jolie Pitt,Dan Fogler,kung fu|kung fu master|master|panda|snow leopard
185,Peyton Reed,Hayley Atwell,180191634.0,Judy Greer,T.I.,ant|chinatown san francisco|heist|sabotage|vault
186,Francis Lawrence,Josh Hutcherson,424645577.0,Jennifer Lawrence,Sandra Ellis Lafferty,president|snow|television|tour|uprising
187,Bill Condon,Kristen Stewart,292298923.0,Robert Pattinson,Taylor Lautner,battle|friend|super strength|vampire|vision
188,Tim Johnson,Matt Jones,177343675.0,Jim Parsons,April Winchell,alien friendship|alien invasion|australia|flying car|mother daughter relationship
189,Steven Spielberg,Lisa Ann Walter,234277056.0,Tom Cruise,Rick Gonzalez,alien|fight|storm|survival|tripod
190,Michael Bay,Henry Rollins,138396624.0,Will Smith,Jordi Mollà,cuba|dea|drugs|money|undercover
191,Chris Miller,Constance Marie,149234747.0,Salma Hayek,Amy Sedaris,betrayal|egg|friend|goose|hero
192,Phillip Noyce,Andre Braugher,118311368.0,Angelina Jolie Pitt,August Diehl,cia|on the run|russian|russian spy|strong female lead
193,Darren Aronofsky,Emma Watson,101160529.0,Anthony Hopkins,Logan Lerman,ark|flood|noah's ark|water|wrath of god
194,Steven Spielberg,Mackenzie Crook,77564037.0,Toby Jones,Tony Curran,captain|morocco|ship|tintin|treasure
195,Alfonso Cuarón,Gary Oldman,249358727.0,Daniel Radcliffe,Rupert Grint,magic|muggle|serial killer|traitor|wizard
196,Baz Luhrmann,Bryan Brown,49551662.0,Essie Davis,Eddie Baroo,australia|cattle|darwin|drover|japanese
197,M. Night Shyamalan,Zoë Kravitz,60522097.0,Will Smith,Glenn Morshower,box office flop|father son team|fear|race against time|real life father and son playing father and son
198,Eric Leighton,D.B. Sweeney,137748063.0,Alfre Woodard,Della Reese,egg|iguanodon|lemur|meteor|nesting grounds
200,Shawn Levy,Rami Malek,113733726.0,Robin Williams,Steve Coogan,museum|museum of natural history manhattan new york city|night watchman|star died before release|tablet
201,Tom McGrath,Brad Pitt,148337537.0,J.K. Simmons,Will Ferrell,battle|city|planet|prison|superhero
202,Chris Columbus,Fiona Shaw,317557891.0,Daniel Radcliffe,Verne Troyer,based on novel|birthday|evil wizard|quidditch|wizard
203,Robert Schwentke,Jeff Bridges,33592415.0,Ryan Reynolds,Stephanie Szostak,drug dealer|gold|partner|police|undead
205,Gore Verbinski,Orlando Bloom,305388685.0,Johnny Depp,Jack Davenport,caribbean|curse|governor|pirate|undead
207,Francis Lawrence,Philip Seymour Hoffman,337103873.0,Jennifer Lawrence,Josh Hutcherson,based on young adult novel|manipulation|rebellion|symbol|uprising
208,Ron Howard,Seth Gabel,217536138.0,Tom Hanks,Jürgen Prochnow,based on supposedly true story|holy grail|mary magdalene|opus dei|secret
209,Carlos Saldanha,Rachel Crow,131536019.0,Miguel Ferrer,Jeffrey Garcia,amazon|bird|father in law|jungle|no opening credits
210,Bryan Singer,Bruce Davison,214948780.0,Hugh Jackman,Aaron Stanford,mutant|prison|professor|school|x men
211,Justin Lin,Vin Diesel,209805005.0,Paul Walker,Dwayne Johnson,drug lord|drugs|federal agent|heist|police
212,Guy Ritchie,Eddie Marsan,186830669.0,Robert Downey Jr.,Paul Anderson,factory|gypsy|investigation|sherlock holmes|train
213,Louis Leterrier,Jason Flemyng,163192114.0,Liam Neeson,Alexa Davalos,famous line|hand to hand combat|kraken|rape|zeus
214,Paul Verhoeven,Rachel Ticotin,119412921.0,Ronny Cox,Marshall Bell,ambiguous ending|false memory|implanted memory|memory|space colony
215,John McTiernan,Vladimir Kulich,32694788.0,Tony Curran,Clive Russell,arab|battle|combat|viking|warrior
216,Tony Gilroy,Scott Glenn,113165635.0,Jeremy Renner,Stacy Keach,assassin|cia|drone|pill|wolf
217,Joel Schumacher,Vivica A. Fox,107285004.0,Michael Gough,John Glover,butler|critically bashed|cure|freeze|gotham
218,Ron Howard,T.J. Thyne,260031035.0,Clint Howard,Molly Shannon,box office hit|christmas|materialism|public humiliation|snowflake
219,Roland Emmerich,Dennis Quaid,186739919.0,Jake Gyllenhaal,Sela Ward,climate|end of the world|global warming|natural disaster|weather
220,John Woo,Dougray Scott,215397307.0,Tom Cruise,Richard Roxburgh,cure|mission|terrorist|thief|virus
221,Wolfgang Petersen,Mary Elizabeth Mastrantonio,182618434.0,Karen Allen,Bob Gunton,death|fish|fishing|sea|storm
222,Tim Story,Ioan Gruffudd,131920333.0,Chris Evans,Andre Braugher,fantastic four|space|strong female character|strong female lead|superheroine
223,Ang Lee,Rafe Spall,124976634.0,Suraj Sharma,Tabu,animal|faith|india|journey|tiger
224,Mark Steven Johnson,Matt Long,115802596.0,Nicolas Cage,Peter Fonda,blackheart|devil|father|ghost|mephistopheles
