,director_name,actor_1_name,actor_2_name,actor_3_name,genres,gross
47,Zack Snyder,Henry Cavill,Christopher Meloni,Harry Lennix,Adventure,291021565.0
48,Zack Snyder,Henry Cavill,Christopher Meloni,Harry Lennix,Fantasy,291021565.0
49,Zack Snyder,Henry Cavill,Christopher Meloni,Harry Lennix,Sci-Fi,291021565.0
50,Andrew Adamson,Peter Dinklage,Pierfrancesco Favino,Damián Alcázar,Action,141614023.0
51,Andrew Adamson,Peter Dinklage,Pierfrancesco Favino,Damián Alcázar,Adventure,141614023.0
52,Andrew Adamson,Peter Dinklage,Pierfrancesco Favino,Damián Alcázar,Family,141614023.0
53,Andrew Adamson,Peter Dinklage,Pierfrancesco Favino,Damián Alcázar,Fantasy,141614023.0
54,Joss Whedon,Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson,Action,623279547.0
55,Joss Whedon,Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson,Adventure,623279547.0
56,Joss Whedon,Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson,Sci-Fi,623279547.0
57,Rob Marshall,Johnny Depp,Sam Claflin,Stephen Graham,Action,241063875.0
58,Rob Marshall,Johnny Depp,Sam Claflin,Stephen Graham,Adventure,241063875.0
59,Rob Marshall,Johnny Depp,Sam Claflin,Stephen Graham,Fantasy,241063875.0
60,Barry Sonnenfeld,Will Smith,Michael Stuhlbarg,Nicole Scherzinger,Action,179020854.0
61,Barry Sonnenfeld,Will Smith,Michael Stuhlbarg,Nicole Scherzinger,Adventure,179020854.0
62,Barry Sonnenfeld,Will Smith,Michael Stuhlbarg,Nicole Scherzinger,Comedy,179020854.0
63,Barry Sonnenfeld,Will Smith,Michael Stuhlbarg,Nicole Scherzinger,Family,179020854.0
64,Barry Sonnenfeld,Will Smith,Michael Stuhlbarg,Nicole Scherzinger,Fantasy,179020854.0
65,Barry Sonnenfeld,Will Smith,Michael Stuhlbarg,Nicole Scherzinger,Sci-Fi,179020854.0
66,Peter Jackson,Aidan Turner,Adam Brown,James Nesbitt,Adventure,255108370.0
67,Peter Jackson,Aidan Turner,Adam Brown,James Nesbitt,Fantasy,255108370.0
68,Marc Webb,Emma Stone,Andrew Garfield,Chris Zylka,Action,262030663.0
69,Marc Webb,Emma Stone,Andrew Garfield,Chris Zylka,Adventure,262030663.0
70,Marc Webb,Emma Stone,Andrew Garfield,Chris Zylka,Fantasy,262030663.0
71,Ridley Scott,Mark Addy,William Hurt,Scott Grimes,Action,105219735.0
72,Ridley Scott,Mark Addy,William Hurt,Scott Grimes,Adventure,105219735.0
73,Ridley Scott,Mark Addy,William Hurt,Scott Grimes,Drama,105219735.0
74,Ridley Scott,Mark Addy,William Hurt,Scott Grimes,History,105219735.0
75,Peter Jackson,Aidan Turner,Adam Brown,James Nesbitt,Adventure,258355354.0
76,Peter Jackson,Aidan Turner,Adam Brown,James Nesbitt,Fantasy,258355354.0
77,Chris Weitz,Christopher Lee,Eva Green,Kristin Scott Thomas,Adventure,70083519.0
78,Chris Weitz,Christopher Lee,Eva Green,Kristin Scott Thomas,Family,70083519.0
79,Chris Weitz,Christopher Lee,Eva Green,Kristin Scott Thomas,Fantasy,70083519.0
80,Peter Jackson,Naomi Watts,Thomas Kretschmann,Evan Parke,Action,218051260.0
81,Peter Jackson,Naomi Watts,Thomas Kretschmann,Evan Parke,Adventure,218051260.0
82,Peter Jackson,Naomi Watts,Thomas Kretschmann,Evan Parke,Drama,218051260.0
83,Peter Jackson,Naomi Watts,Thomas Kretschmann,Evan Parke,Romance,218051260.0
84,James Cameron,Leonardo DiCaprio,Kate Winslet,Gloria Stuart,Drama,658672302.0
85,James Cameron,Leonardo DiCaprio,Kate Winslet,Gloria Stuart,Romance,658672302.0
86,Anthony Russo,Robert Downey Jr.,Scarlett Johansson,Chris Evans,Action,407197282.0
87,Anthony Russo,Robert Downey Jr.,Scarlett Johansson,Chris Evans,Adventure,407197282.0
88,Anthony Russo,Robert Downey Jr.,Scarlett Johansson,Chris Evans,Sci-Fi,407197282.0
89,Peter Berg,Liam Neeson,Alexander Skarsgård,Tadanobu Asano,Action,65173160.0
90,Peter Berg,Liam Neeson,Alexander Skarsgård,Tadanobu Asano,Adventure,65173160.0
91,Peter Berg,Liam Neeson,Alexander Skarsgård,Tadanobu Asano,Sci-Fi,65173160.0
92,Peter Berg,Liam Neeson,Alexander Skarsgård,Tadanobu Asano,Thriller,65173160.0
93,Colin Trevorrow,Bryce Dallas Howard,Judy Greer,Omar Sy,Action,652177271.0
94,Colin Trevorrow,Bryce Dallas Howard,Judy Greer,Omar Sy,Adventure,652177271.0
95,Colin Trevorrow,Bryce Dallas Howard,Judy Greer,Omar Sy,Sci-Fi,652177271.0
96,Colin Trevorrow,Bryce Dallas Howard,Judy Greer,Omar Sy,Thriller,652177271.0
97,Sam Mendes,Albert Finney,Helen McCrory,Rory Kinnear,Action,304360277.0
98,Sam Mendes,Albert Finney,Helen McCrory,Rory Kinnear,Adventure,304360277.0
99,Sam Mendes,Albert Finney,Helen McCrory,Rory Kinnear,Thriller,304360277.0
100,Sam Raimi,J.K. Simmons,James Franco,Kirsten Dunst,Action,373377893.0
101,Sam Raimi,J.K. Simmons,James Franco,Kirsten Dunst,Adventure,373377893.0
102,Sam Raimi,J.K. Simmons,James Franco,Kirsten Dunst,Fantasy,373377893.0
103,Sam Raimi,J.K. Simmons,James Franco,Kirsten Dunst,Romance,373377893.0
104,Shane Black,Robert Downey Jr.,Jon Favreau,Don Cheadle,Action,408992272.0
105,Shane Black,Robert Downey Jr.,Jon Favreau,Don Cheadle,Adventure,408992272.0
106,Shane Black,Robert Downey Jr.,Jon Favreau,Don Cheadle,Sci-Fi,408992272.0
107,Tim Burton,Johnny Depp,Alan Rickman,Anne Hathaway,Adventure,334185206.0
108,Tim Burton,Johnny Depp,Alan Rickman,Anne Hathaway,Family,334185206.0
109,Tim Burton,Johnny Depp,Alan Rickman,Anne Hathaway,Fantasy,334185206.0
110,Brett Ratner,Hugh Jackman,Kelsey Grammer,Daniel Cudmore,Action,234360014.0
111,Brett Ratner,Hugh Jackman,Kelsey Grammer,Daniel Cudmore,Adventure,234360014.0
112,Brett Ratner,Hugh Jackman,Kelsey Grammer,Daniel Cudmore,Fantasy,234360014.0
113,Brett Ratner,Hugh Jackman,Kelsey Grammer,Daniel Cudmore,Sci-Fi,234360014.0
114,Brett Ratner,Hugh Jackman,Kelsey Grammer,Daniel Cudmore,Thriller,234360014.0
115,Dan Scanlon,Steve Buscemi,Tyler Labine,Sean Hayes,Adventure,268488329.0
116,Dan Scanlon,Steve Buscemi,Tyler Labine,Sean Hayes,Animation,268488329.0
117,Dan Scanlon,Steve Buscemi,Tyler Labine,Sean Hayes,Comedy,268488329.0
118,Dan Scanlon,Steve Buscemi,Tyler Labine,Sean Hayes,Family,268488329.0
119,Dan Scanlon,Steve Buscemi,Tyler Labine,Sean Hayes,Fantasy,268488329.0
120,Michael Bay,Glenn Morshower,Kevin Dunn,Ramon Rodriguez,Action,402076689.0
121,Michael Bay,Glenn Morshower,Kevin Dunn,Ramon Rodriguez,Adventure,402076689.0
122,Michael Bay,Glenn Morshower,Kevin Dunn,Ramon Rodriguez,Sci-Fi,402076689.0
123,Michael Bay,Bingbing Li,Sophia Myles,Kelsey Grammer,Action,245428137.0
124,Michael Bay,Bingbing Li,Sophia Myles,Kelsey Grammer,Adventure,245428137.0
125,Michael Bay,Bingbing Li,Sophia Myles,Kelsey Grammer,Sci-Fi,245428137.0
126,Sam Raimi,Tim Holmes,Mila Kunis,James Franco,Adventure,234903076.0
127,Sam Raimi,Tim Holmes,Mila Kunis,James Franco,Family,234903076.0
128,Sam Raimi,Tim Holmes,Mila Kunis,James Franco,Fantasy,234903076.0
129,Marc Webb,Emma Stone,Andrew Garfield,B.J. Novak,Action,202853933.0
130,Marc Webb,Emma Stone,Andrew Garfield,B.J. Novak,Adventure,202853933.0
131,Marc Webb,Emma Stone,Andrew Garfield,B.J. Novak,Fantasy,202853933.0
132,Marc Webb,Emma Stone,Andrew Garfield,B.J. Novak,Sci-Fi,202853933.0
133,Joseph Kosinski,Jeff Bridges,Olivia Wilde,James Frain,Action,172051787.0
134,Joseph Kosinski,Jeff Bridges,Olivia Wilde,James Frain,Adventure,172051787.0
135,Joseph Kosinski,Jeff Bridges,Olivia Wilde,James Frain,Sci-Fi,172051787.0
136,John Lasseter,Joe Mantegna,Thomas Kretschmann,Eddie Izzard,Adventure,191450875.0
137,John Lasseter,Joe Mantegna,Thomas Kretschmann,Eddie Izzard,Animation,191450875.0
138,John Lasseter,Joe Mantegna,Thomas Kretschmann,Eddie Izzard,Comedy,191450875.0
139,John Lasseter,Joe Mantegna,Thomas Kretschmann,Eddie Izzard,Family,191450875.0
140,John Lasseter,Joe Mantegna,Thomas Kretschmann,Eddie Izzard,Sport,191450875.0
141,Martin Campbell,Ryan Reynolds,Temuera Morrison,Taika Waititi,Action,116593191.0
142,Martin Campbell,Ryan Reynolds,Temuera Morrison,Taika Waititi,Adventure,116593191.0
143,Martin Campbell,Ryan Reynolds,Temuera Morrison,Taika Waititi,Sci-Fi,116593191.0
144,Lee Unkrich,Tom Hanks,John Ratzenberger,Don Rickles,Adventure,414984497.0
145,Lee Unkrich,Tom Hanks,John Ratzenberger,Don Rickles,Animation,414984497.0
146,Lee Unkrich,Tom Hanks,John Ratzenberger,Don Rickles,Comedy,414984497.0
147,Lee Unkrich,Tom Hanks,John Ratzenberger,Don Rickles,Family,414984497.0
148,Lee Unkrich,Tom Hanks,John Ratzenberger,Don Rickles,Fantasy,414984497.0
149,McG,Christian Bale,Bryce Dallas Howard,Common,Action,125320003.0
150,McG,Christian Bale,Bryce Dallas Howard,Common,Adventure,125320003.0
151,McG,Christian Bale,Bryce Dallas Howard,Common,Sci-Fi,125320003.0
152,James Wan,Jason Statham,Paul Walker,Vin Diesel,Action,350034110.0
153,James Wan,Jason Statham,Paul Walker,Vin Diesel,Crime,350034110.0
154,James Wan,Jason Statham,Paul Walker,Vin Diesel,Thriller,350034110.0
155,Marc Forster,Peter Capaldi,Brad Pitt,Mireille Enos,Action,202351611.0
156,Marc Forster,Peter Capaldi,Brad Pitt,Mireille Enos,Adventure,202351611.0
157,Marc Forster,Peter Capaldi,Brad Pitt,Mireille Enos,Horror,202351611.0
158,Marc Forster,Peter Capaldi,Brad Pitt,Mireille Enos,Sci-Fi,202351611.0
159,Marc Forster,Peter Capaldi,Brad Pitt,Mireille Enos,Thriller,202351611.0
160,Bryan Singer,Jennifer Lawrence,Peter Dinklage,Hugh Jackman,Action,233914986.0
161,Bryan Singer,Jennifer Lawrence,Peter Dinklage,Hugh Jackman,Adventure,233914986.0
162,Bryan Singer,Jennifer Lawrence,Peter Dinklage,Hugh Jackman,Fantasy,233914986.0
163,Bryan Singer,Jennifer Lawrence,Peter Dinklage,Hugh Jackman,Sci-Fi,233914986.0
164,Bryan Singer,Jennifer Lawrence,Peter Dinklage,Hugh Jackman,Thriller,233914986.0
165,J.J. Abrams,Benedict Cumberbatch,Bruce Greenwood,Noel Clarke,Action,228756232.0
166,J.J. Abrams,Benedict Cumberbatch,Bruce Greenwood,Noel Clarke,Adventure,228756232.0
167,J.J. Abrams,Benedict Cumberbatch,Bruce Greenwood,Noel Clarke,Sci-Fi,228756232.0
168,Bryan Singer,Eddie Marsan,Ewen Bremner,Ralph Brown,Adventure,65171860.0
169,Bryan Singer,Eddie Marsan,Ewen Bremner,Ralph Brown,Fantasy,65171860.0
170,Baz Luhrmann,Leonardo DiCaprio,Elizabeth Debicki,Steve Bisley,Drama,144812796.0
171,Baz Luhrmann,Leonardo DiCaprio,Elizabeth Debicki,Steve Bisley,Romance,144812796.0
172,Mike Newell,Jake Gyllenhaal,Richard Coyle,Reece Ritchie,Action,90755643.0
173,Mike Newell,Jake Gyllenhaal,Richard Coyle,Reece Ritchie,Adventure,90755643.0
174,Mike Newell,Jake Gyllenhaal,Richard Coyle,Reece Ritchie,Fantasy,90755643.0
175,Mike Newell,Jake Gyllenhaal,Richard Coyle,Reece Ritchie,Romance,90755643.0
176,Guillermo del Toro,Charlie Hunnam,Clifton Collins Jr.,Larry Joe Campbell,Action,101785482.0
177,Guillermo del Toro,Charlie Hunnam,Clifton Collins Jr.,Larry Joe Campbell,Adventure,101785482.0
178,Guillermo del Toro,Charlie Hunnam,Clifton Collins Jr.,Larry Joe Campbell,Sci-Fi,101785482.0
179,Michael Bay,Glenn Morshower,Lester Speight,Kevin Dunn,Action,352358779.0
180,Michael Bay,Glenn Morshower,Lester Speight,Kevin Dunn,Adventure,352358779.0
181,Michael Bay,Glenn Morshower,Lester Speight,Kevin Dunn,Sci-Fi,352358779.0
182,Steven Spielberg,Harrison Ford,Ray Winstone,Jim Broadbent,Action,317011114.0
183,Steven Spielberg,Harrison Ford,Ray Winstone,Jim Broadbent,Adventure,317011114.0
184,Steven Spielberg,Harrison Ford,Ray Winstone,Jim Broadbent,Fantasy,317011114.0
185,Peter Sohn,A.J. Buckley,Jack McGraw,Peter Sohn,Adventure,123070338.0
186,Peter Sohn,A.J. Buckley,Jack McGraw,Peter Sohn,Animation,123070338.0
187,Peter Sohn,A.J. Buckley,Jack McGraw,Peter Sohn,Comedy,123070338.0
188,Peter Sohn,A.J. Buckley,Jack McGraw,Peter Sohn,Family,123070338.0
189,Peter Sohn,A.J. Buckley,Jack McGraw,Peter Sohn,Fantasy,123070338.0
190,Mark Andrews,Kelly Macdonald,John Ratzenberger,Julie Walters,Adventure,237282182.0
191,Mark Andrews,Kelly Macdonald,John Ratzenberger,Julie Walters,Animation,237282182.0
192,Mark Andrews,Kelly Macdonald,John Ratzenberger,Julie Walters,Comedy,237282182.0
193,Mark Andrews,Kelly Macdonald,John Ratzenberger,Julie Walters,Family,237282182.0
194,Mark Andrews,Kelly Macdonald,John Ratzenberger,Julie Walters,Fantasy,237282182.0
195,Justin Lin,Sofia Boutella,Melissa Roxburgh,Lydia Wilson,Action,130468626.0
196,Justin Lin,Sofia Boutella,Melissa Roxburgh,Lydia Wilson,Adventure,130468626.0
197,Justin Lin,Sofia Boutella,Melissa Roxburgh,Lydia Wilson,Sci-Fi,130468626.0
198,Justin Lin,Sofia Boutella,Melissa Roxburgh,Lydia Wilson,Thriller,130468626.0
199,Andrew Stanton,John Ratzenberger,Fred Willard,Jeff Garlin,Adventure,223806889.0
200,Andrew Stanton,John Ratzenberger,Fred Willard,Jeff Garlin,Animation,223806889.0
201,Andrew Stanton,John Ratzenberger,Fred Willard,Jeff Garlin,Family,223806889.0
202,Andrew Stanton,John Ratzenberger,Fred Willard,Jeff Garlin,Sci-Fi,223806889.0
203,Brett Ratner,Tzi Ma,Dana Ivey,Noémie Lenoir,Action,140080850.0
204,Brett Ratner,Tzi Ma,Dana Ivey,Noémie Lenoir,Comedy,140080850.0
205,Brett Ratner,Tzi Ma,Dana Ivey,Noémie Lenoir,Crime,140080850.0
206,Brett Ratner,Tzi Ma,Dana Ivey,Noémie Lenoir,Thriller,140080850.0
207,Roland Emmerich,Oliver Platt,Liam James,Tom McCarthy,Action,166112167.0
208,Roland Emmerich,Oliver Platt,Liam James,Tom McCarthy,Adventure,166112167.0
209,Roland Emmerich,Oliver Platt,Liam James,Tom McCarthy,Sci-Fi,166112167.0
210,Robert Zemeckis,Robin Wright,Colin Firth,Gary Oldman,Animation,137850096.0
211,Robert Zemeckis,Robin Wright,Colin Firth,Gary Oldman,Drama,137850096.0
212,Robert Zemeckis,Robin Wright,Colin Firth,Gary Oldman,Family,137850096.0
213,Robert Zemeckis,Robin Wright,Colin Firth,Gary Oldman,Fantasy,137850096.0
214,Lana Wachowski,Channing Tatum,Mila Kunis,Eddie Redmayne,Action,47375327.0
215,Lana Wachowski,Channing Tatum,Mila Kunis,Eddie Redmayne,Adventure,47375327.0
216,Lana Wachowski,Channing Tatum,Mila Kunis,Eddie Redmayne,Sci-Fi,47375327.0
217,David Yates,Christoph Waltz,Alexander Skarsgård,Casper Crump,Action,124051759.0
218,David Yates,Christoph Waltz,Alexander Skarsgård,Casper Crump,Adventure,124051759.0
219,David Yates,Christoph Waltz,Alexander Skarsgård,Casper Crump,Drama,124051759.0
220,David Yates,Christoph Waltz,Alexander Skarsgård,Casper Crump,Romance,124051759.0
221,Andrew Adamson,Jim Broadbent,Kiran Shah,Shane Rangi,Adventure,291709845.0
222,Andrew Adamson,Jim Broadbent,Kiran Shah,Shane Rangi,Family,291709845.0
223,Andrew Adamson,Jim Broadbent,Kiran Shah,Shane Rangi,Fantasy,291709845.0
224,Bryan Singer,Jennifer Lawrence,Michael Fassbender,Tye Sheridan,Action,154985087.0
225,Bryan Singer,Jennifer Lawrence,Michael Fassbender,Tye Sheridan,Adventure,154985087.0
226,Bryan Singer,Jennifer Lawrence,Michael Fassbender,Tye Sheridan,Sci-Fi,154985087.0
227,Christopher Nolan,Christian Bale,Heath Ledger,Morgan Freeman,Action,533316061.0
228,Christopher Nolan,Christian Bale,Heath Ledger,Morgan Freeman,Crime,533316061.0
229,Christopher Nolan,Christian Bale,Heath Ledger,Morgan Freeman,Drama,533316061.0
230,Christopher Nolan,Christian Bale,Heath Ledger,Morgan Freeman,Thriller,533316061.0
231,Pete Docter,John Ratzenberger,Delroy Lindo,Jess Harnell,Adventure,292979556.0
232,Pete Docter,John Ratzenberger,Delroy Lindo,Jess Harnell,Animation,292979556.0
233,Pete Docter,John Ratzenberger,Delroy Lindo,Jess Harnell,Comedy,292979556.0
234,Pete Docter,John Ratzenberger,Delroy Lindo,Jess Harnell,Family,292979556.0
235,Rob Letterman,Amy Poehler,Rainn Wilson,Stephen Colbert,Action,198332128.0
236,Rob Letterman,Amy Poehler,Rainn Wilson,Stephen Colbert,Adventure,198332128.0
237,Rob Letterman,Amy Poehler,Rainn Wilson,Stephen Colbert,Animation,198332128.0
238,Rob Letterman,Amy Poehler,Rainn Wilson,Stephen Colbert,Comedy,198332128.0
239,Rob Letterman,Amy Poehler,Rainn Wilson,Stephen Colbert,Family,198332128.0
240,Rob Letterman,Amy Poehler,Rainn Wilson,Stephen Colbert,Sci-Fi,198332128.0
241,Jon Favreau,Robert Downey Jr.,Jeff Bridges,Jon Favreau,Action,318298180.0
242,Jon Favreau,Robert Downey Jr.,Jeff Bridges,Jon Favreau,Adventure,318298180.0
243,Jon Favreau,Robert Downey Jr.,Jeff Bridges,Jon Favreau,Sci-Fi,318298180.0
244,Martin Scorsese,Chloë Grace Moretz,Christopher Lee,Ray Winstone,Adventure,73820094.0
245,Martin Scorsese,Chloë Grace Moretz,Christopher Lee,Ray Winstone,Drama,73820094.0
246,Martin Scorsese,Chloë Grace Moretz,Christopher Lee,Ray Winstone,Family,73820094.0
247,Martin Scorsese,Chloë Grace Moretz,Christopher Lee,Ray Winstone,Mystery,73820094.0
248,Barry Sonnenfeld,Will Smith,Salma Hayek,Bai Ling,Action,113745408.0
249,Barry Sonnenfeld,Will Smith,Salma Hayek,Bai Ling,Comedy,113745408.0
250,Barry Sonnenfeld,Will Smith,Salma Hayek,Bai Ling,Sci-Fi,113745408.0
251,Barry Sonnenfeld,Will Smith,Salma Hayek,Bai Ling,Western,113745408.0
252,Rob Cohen,Jet Li,Brendan Fraser,Russell Wong,Action,102176165.0
253,Rob Cohen,Jet Li,Brendan Fraser,Russell Wong,Adventure,102176165.0
254,Rob Cohen,Jet Li,Brendan Fraser,Russell Wong,Fantasy,102176165.0
255,Rob Cohen,Jet Li,Brendan Fraser,Russell Wong,Horror,102176165.0
256,Rob Cohen,Jet Li,Brendan Fraser,Russell Wong,Thriller,102176165.0
257,David Ayer,Will Smith,Robin Atkin Downes,Ike Barinholtz,Action,161087183.0
258,David Ayer,Will Smith,Robin Atkin Downes,Ike Barinholtz,Adventure,161087183.0
259,David Ayer,Will Smith,Robin Atkin Downes,Ike Barinholtz,Comedy,161087183.0
260,David Ayer,Will Smith,Robin Atkin Downes,Ike Barinholtz,Sci-Fi,161087183.0
261,Tom Shadyac,Jimmy Bennett,Morgan Freeman,Steve Carell,Comedy,100289690.0
262,Tom Shadyac,Jimmy Bennett,Morgan Freeman,Steve Carell,Family,100289690.0
263,Tom Shadyac,Jimmy Bennett,Morgan Freeman,Steve Carell,Fantasy,100289690.0
264,Doug Liman,Tom Cruise,Lara Pulver,Noah Taylor,Action,100189501.0
265,Doug Liman,Tom Cruise,Lara Pulver,Noah Taylor,Adventure,100189501.0
266,Doug Liman,Tom Cruise,Lara Pulver,Noah Taylor,Sci-Fi,100189501.0
267,Kevin Reynolds,Jeanne Tripplehorn,Rick Aviles,Zakes Mokae,Action,88246220.0
268,Kevin Reynolds,Jeanne Tripplehorn,Rick Aviles,Zakes Mokae,Adventure,88246220.0
269,Kevin Reynolds,Jeanne Tripplehorn,Rick Aviles,Zakes Mokae,Sci-Fi,88246220.0
270,Kevin Reynolds,Jeanne Tripplehorn,Rick Aviles,Zakes Mokae,Thriller,88246220.0
271,Stephen Sommers,Joseph Gordon-Levitt,Dennis Quaid,Leo Howard,Action,150167630.0
272,Stephen Sommers,Joseph Gordon-Levitt,Dennis Quaid,Leo Howard,Adventure,150167630.0
273,Stephen Sommers,Joseph Gordon-Levitt,Dennis Quaid,Leo Howard,Sci-Fi,150167630.0
274,Stephen Sommers,Joseph Gordon-Levitt,Dennis Quaid,Leo Howard,Thriller,150167630.0
275,Pete Docter,Amy Poehler,Mindy Kaling,Phyllis Smith,Adventure,356454367.0
276,Pete Docter,Amy Poehler,Mindy Kaling,Phyllis Smith,Animation,356454367.0
277,Pete Docter,Amy Poehler,Mindy Kaling,Phyllis Smith,Comedy,356454367.0
278,Pete Docter,Amy Poehler,Mindy Kaling,Phyllis Smith,Drama,356454367.0
279,Pete Docter,Amy Poehler,Mindy Kaling,Phyllis Smith,Family,356454367.0
280,Pete Docter,Amy Poehler,Mindy Kaling,Phyllis Smith,Fantasy,356454367.0
281,Jon Favreau,Scarlett Johansson,Bill Murray,Garry Shandling,Adventure,362645141.0
282,Jon Favreau,Scarlett Johansson,Bill Murray,Garry Shandling,Drama,362645141.0
283,Jon Favreau,Scarlett Johansson,Bill Murray,Garry Shandling,Family,362645141.0
284,Jon Favreau,Scarlett Johansson,Bill Murray,Garry Shandling,Fantasy,362645141.0
285,Jon Favreau,Robert Downey Jr.,Scarlett Johansson,Jon Favreau,Action,312057433.0
286,Jon Favreau,Robert Downey Jr.,Scarlett Johansson,Jon Favreau,Adventure,312057433.0
287,Jon Favreau,Robert Downey Jr.,Scarlett Johansson,Jon Favreau,Sci-Fi,312057433.0
288,Rupert Sanders,Chris Hemsworth,Kristen Stewart,Sam Claflin,Action,155111815.0
289,Rupert Sanders,Chris Hemsworth,Kristen Stewart,Sam Claflin,Adventure,155111815.0
290,Rupert Sanders,Chris Hemsworth,Kristen Stewart,Sam Claflin,Drama,155111815.0
291,Rupert Sanders,Chris Hemsworth,Kristen Stewart,Sam Claflin,Fantasy,155111815.0
292,Robert Stromberg,Angelina Jolie Pitt,Sharlto Copley,Sam Riley,Action,241407328.0
293,Robert Stromberg,Angelina Jolie Pitt,Sharlto Copley,Sam Riley,Adventure,241407328.0
294,Robert Stromberg,Angelina Jolie Pitt,Sharlto Copley,Sam Riley,Family,241407328.0
295,Robert Stromberg,Angelina Jolie Pitt,Sharlto Copley,Sam Riley,Fantasy,241407328.0
